common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Scopelosaurus hubbsi,NA (_Scopelosaurus hubbsi_),644826,1205,75512,erdCalCOFIlrvcntSBtoSC.csv
NA,Scopelosaurus smithi,NA (_Scopelosaurus smithi_),668632,1204,75512,erdCalCOFIlrvcntSBtoSC.csv
NA,Scorpaena,NA (_Scorpaena_),166811,676,75512,erdCalCOFIlrvcntSBtoSC.csv
California scorpionfish (sculpin),Scorpaena guttata,California scorpionfish (sculpin) (_Scorpaena guttata_),166827,678,75512,erdCalCOFIlrvcntSBtoSC.csv
Cabezon,Scorpaenichthys marmoratus,Cabezon (_Scorpaenichthys marmoratus_),692068,736,75512,erdCalCOFIlrvcntSBtoSC.csv
Scorpionfishes,Scorpaenidae,Scorpionfishes (_Scorpaenidae_),166704,670,75512,erdCalCOFIlrvcntSBtoSC.csv
Rainbow scorpionfish,Scorpaenodes xyris,Rainbow scorpionfish (_Scorpaenodes xyris_),166864,675,75512,erdCalCOFIlrvcntSBtoSC.csv
Rockfishes,Sebastes,Rockfishes (_Sebastes_),166705,683,76143,erdCalCOFIlrvcntSDtoSI.csv
Aurora rockfish,Sebastes aurora,Aurora rockfish (_Sebastes aurora_),166709,688,76143,erdCalCOFIlrvcntSDtoSI.csv
Splitnose rockfish,Sebastes diploproa,Splitnose rockfish (_Sebastes diploproa_),166716,689,76143,erdCalCOFIlrvcntSDtoSI.csv
Chilipepper,Sebastes goodei,Chilipepper (_Sebastes goodei_),166722,693,76143,erdCalCOFIlrvcntSDtoSI.csv
Shortbelly rockfish,Sebastes jordani,Shortbelly rockfish (_Sebastes jordani_),166725,684,76143,erdCalCOFIlrvcntSDtoSI.csv
Cow rockfish (cowcod),Sebastes levis,Cow rockfish (cowcod) (_Sebastes levis_),166754,685,76143,erdCalCOFIlrvcntSDtoSI.csv
Mexican rockfish,Sebastes macdonaldi,Mexican rockfish (_Sebastes macdonaldi_),166755,687,76143,erdCalCOFIlrvcntSDtoSI.csv
Blackgill rockfish,Sebastes melanostomus,Blackgill rockfish (_Sebastes melanostomus_),166728,694,76143,erdCalCOFIlrvcntSDtoSI.csv
Bocaccio,Sebastes paucispinis,Bocaccio (_Sebastes paucispinis_),166733,686,76143,erdCalCOFIlrvcntSDtoSI.csv
Stripetail rockfish,Sebastes saxicola,Stripetail rockfish (_Sebastes saxicola_),166741,682,76143,erdCalCOFIlrvcntSDtoSI.csv
Thornyheads,Sebastolobus,Thornyheads (_Sebastolobus_),166782,707,76143,erdCalCOFIlrvcntSDtoSI.csv
Shortspine thornyhead,Sebastolobus alascanus,Shortspine thornyhead (_Sebastolobus alascanus_),166783,708,76143,erdCalCOFIlrvcntSDtoSI.csv
Longspine thornyhead,Sebastolobus altivelis,Longspine thornyhead (_Sebastolobus altivelis_),166784,709,76143,erdCalCOFIlrvcntSDtoSI.csv
Bluestriped sea chub,Sectator ocyurus,Bluestriped sea chub (_Sectator ocyurus_),169527,665,76143,erdCalCOFIlrvcntSDtoSI.csv
Bigeye scad,Selar crumenophthalmus,Bigeye scad (_Selar crumenophthalmus_),168677,518,76143,erdCalCOFIlrvcntSDtoSI.csv
"Moonfishes, lookdowns",Selene,"Moonfishes, lookdowns (_Selene_)",168679,505,76143,erdCalCOFIlrvcntSDtoSI.csv
Pacific moonfish,Selene peruviana,Pacific moonfish (_Selene peruviana_),168683,492,76143,erdCalCOFIlrvcntSDtoSI.csv
California sheephead,Semicossyphus pulcher,California sheephead (_Semicossyphus pulcher_),170744,641,76143,erdCalCOFIlrvcntSDtoSI.csv
"Amberjacks, yellowtails",Seriola,"Amberjacks, yellowtails (_Seriola_)",168688,516,76143,erdCalCOFIlrvcntSDtoSI.csv
Yellowtail,Seriola lalandi,Yellowtail (_Seriola lalandi_),168695,517,76143,erdCalCOFIlrvcntSDtoSI.csv
Fortune jack,Seriola peruana,Fortune jack (_Seriola peruana_),641997,519,76143,erdCalCOFIlrvcntSDtoSI.csv
Almaco jack,Seriola rivoliana,Almaco jack (_Seriola rivoliana_),168691,515,76143,erdCalCOFIlrvcntSDtoSI.csv
Queenfish,Seriphus politus,Queenfish (_Seriphus politus_),169362,613,76143,erdCalCOFIlrvcntSDtoSI.csv
Sea Basses,Serranidae,Sea Basses (_Serranidae_),167674,425,76143,erdCalCOFIlrvcntSDtoSI.csv
NA,Serraninae,NA (_Serraninae_),643089,430,76143,erdCalCOFIlrvcntSDtoSI.csv
NA,Serranus,NA (_Serranus_),167849,434,76143,erdCalCOFIlrvcntSDtoSI.csv
Bean's sawtooth eel,Serrivomer beanii,Bean's sawtooth eel (_Serrivomer beanii_),635762,1050,76143,erdCalCOFIlrvcntSDtoSI.csv
Sawtooth eel,Serrivomer sector,Sawtooth eel (_Serrivomer sector_),161609,374,76143,erdCalCOFIlrvcntSDtoSI.csv
Sawtooth Eels,Serrivomeridae,Sawtooth Eels (_Serrivomeridae_),161603,378,76143,erdCalCOFIlrvcntSDtoSI.csv
NA,Sigmops,NA (_Sigmops_),622342,1125,76143,erdCalCOFIlrvcntSDtoSI.csv
NA,Sigmops bathyphilum,NA (_Sigmops bathyphilum_),622361,1128,76143,erdCalCOFIlrvcntSDtoSI.csv
Ebeling's fangjaw,Sigmops ebelingi,Ebeling's fangjaw (_Sigmops ebelingi_),622492,82,76143,erdCalCOFIlrvcntSDtoSI.csv
Elongated bristlemouth fish,Sigmops elongatum,Elongated bristlemouth fish (_Sigmops elongatum_),622493,1126,76143,erdCalCOFIlrvcntSDtoSI.csv
Slender fangjaw,Sigmops gracile,Slender fangjaw (_Sigmops gracile_),622491,1127,76143,erdCalCOFIlrvcntSDtoSI.csv
Porgies,Sparidae,Porgies (_Sparidae_),169180,605,76143,erdCalCOFIlrvcntSJtoST.csv
Giant Cusk-eel,Spectrunculus grandis,Giant Cusk-eel (_Spectrunculus grandis_),622862,1320,76143,erdCalCOFIlrvcntSJtoST.csv
NA,Sphoeroides,NA (_Sphoeroides_),173289,2301,76143,erdCalCOFIlrvcntSJtoST.csv
NA,Sphyraena,NA (_Sphyraena_),170425,487,76143,erdCalCOFIlrvcntSJtoST.csv
Pacific barracuda (California barracuda),Sphyraena argentea,Pacific barracuda (California barracuda) (_Sphyraena argentea_),170426,486,76143,erdCalCOFIlrvcntSJtoST.csv
